Movie Name,Emotion,Release Date,Genre,IMDb Rating,OTT Platform,Watch Link
Inside Out (17),surprise,2015-06-19,Animation,7.5,YouTube Movies,https://www.youtube.com/results?search_query=52825935
Schindler's List (13),sad,1993-12-15,Historical,6.4,Amazon Prime Video,https://www.amazon.com/dp/16164120
Parasite (84),fear,2019-05-30,Thriller,5.9,HBO Max,https://www.hbomax.com/feature/41922281
Joker (63),fear,2019-10-04,Psychological,5.9,Netflix,https://www.netflix.com/title/17601083
The Silence of the Lambs (50),fear,1991-02-14,Thriller,8.8,YouTube Movies,https://www.youtube.com/results?search_query=49722370
The Lion King (34),surprise,1994-06-24,Animation,8.6,Disney+,https://www.disneyplus.com/movies/-9553254
The Godfather (19),disgust,1972-03-24,Crime,8.2,Peacock,https://www.peacocktv.com/watch/19938885
The Godfather (8),disgust,1972-03-24,Crime,8.9,Netflix,https://www.netflix.com/title/-5470169
The Shawshank Redemption (33),sad,1994-09-23,Drama,6.0,Disney+,https://www.disneyplus.com/movies/-2073915
Coco (98),surprise,2017-11-22,Animation,7.2,Hulu,https://www.hulu.com/movie/51041732
The Godfather (53),disgust,1972-03-24,Crime,6.0,Netflix,https://www.netflix.com/title/-9056449
The Grand Budapest Hotel (21),happy,2014-03-28,Comedy,7.6,Apple TV+,https://tv.apple.com/movie/15510441
Inside Out (58),surprise,2015-06-19,Animation,7.3,Peacock,https://www.peacocktv.com/watch/-5740365
Forrest Gump (6),sad,1994-07-06,Drama,7.1,Hulu,https://www.hulu.com/movie/21397581
Titanic (59),happy,1997-12-19,Romance,7.0,Apple TV+,https://tv.apple.com/movie/85497307
The Dark Knight (79),angry,2008-07-18,Action,8.6,Hulu,https://www.hulu.com/movie/16299933
The Shawshank Redemption (15),sad,1994-09-23,Drama,7.5,Hulu,https://www.hulu.com/movie/75366077
Saving Private Ryan (45),disgust,1998-07-24,War,7.7,Apple TV+,https://tv.apple.com/movie/10792779
Interstellar (43),neutral,2014-11-07,Sci-Fi,6.1,Hulu,https://www.hulu.com/movie/-8596999
The Lion King (58),surprise,1994-06-24,Animation,5.6,Amazon Prime Video,https://www.amazon.com/dp/-4024875
The Godfather (65),disgust,1972-03-24,Crime,6.1,Peacock,https://www.peacocktv.com/watch/-7284486
Titanic (16),happy,1997-12-19,Romance,5.9,Netflix,https://www.netflix.com/title/-6141793
Inside Out (29),surprise,2015-06-19,Animation,8.9,Netflix,https://www.netflix.com/title/81622009
Pulp Fiction (5),disgust,1994-10-14,Crime,6.0,YouTube Movies,https://www.youtube.com/results?search_query=-3520815
Forrest Gump (19),sad,1994-07-06,Drama,8.7,Netflix,https://www.netflix.com/title/66778574
Joker (39),fear,2019-10-04,Psychological,7.2,Peacock,https://www.peacocktv.com/watch/55105516
The Silence of the Lambs (99),fear,1991-02-14,Thriller,7.6,YouTube Movies,https://www.youtube.com/results?search_query=78990912
Saving Private Ryan (82),disgust,1998-07-24,War,9.1,HBO Max,https://www.hbomax.com/feature/55375280
The Matrix (82),neutral,1999-03-31,Sci-Fi,6.2,Peacock,https://www.peacocktv.com/watch/33545934
Avengers: Endgame (85),angry,2019-04-26,Action,7.9,Amazon Prime Video,https://www.amazon.com/dp/10558498
Avengers: Endgame (50),angry,2019-04-26,Action,8.5,Peacock,https://www.peacocktv.com/watch/-6973196
Interstellar (82),neutral,2014-11-07,Sci-Fi,5.9,Hulu,https://www.hulu.com/movie/-3268110
Parasite (23),fear,2019-05-30,Thriller,7.3,Netflix,https://www.netflix.com/title/57242297
Avengers: Endgame (28),angry,2019-04-26,Action,7.9,Peacock,https://www.peacocktv.com/watch/51693895
Forrest Gump (67),sad,1994-07-06,Drama,6.6,Amazon Prime Video,https://www.amazon.com/dp/-7687428
The Lion King (44),surprise,1994-06-24,Animation,5.3,Apple TV+,https://tv.apple.com/movie/56253125
The Grand Budapest Hotel (46),happy,2014-03-28,Comedy,6.6,HBO Max,https://www.hbomax.com/feature/16723834
Joker (82),fear,2019-10-04,Psychological,7.7,Peacock,https://www.peacocktv.com/watch/-2765491
Parasite (10),fear,2019-05-30,Thriller,6.2,Netflix,https://www.netflix.com/title/23217252
Interstellar (44),neutral,2014-11-07,Sci-Fi,6.9,Netflix,https://www.netflix.com/title/86017751
The Godfather (80),disgust,1972-03-24,Crime,9.5,Disney+,https://www.disneyplus.com/movies/60010911
Interstellar (87),neutral,2014-11-07,Sci-Fi,6.2,YouTube Movies,https://www.youtube.com/results?search_query=47049156
Interstellar (44),neutral,2014-11-07,Sci-Fi,5.6,Amazon Prime Video,https://www.amazon.com/dp/86017751
Inside Out (14),surprise,2015-06-19,Animation,6.9,Hulu,https://www.hulu.com/movie/-3684464
The Grand Budapest Hotel (76),happy,2014-03-28,Comedy,6.9,Netflix,https://www.netflix.com/title/-5279663
Inception (59),neutral,2010-07-16,Sci-Fi,7.1,Disney+,https://www.disneyplus.com/movies/28057366
The Dark Knight (57),angry,2008-07-18,Action,6.5,Disney+,https://www.disneyplus.com/movies/-6913096
Gladiator (27),angry,2000-05-05,Action,9.4,HBO Max,https://www.hbomax.com/feature/62421750
The Dark Knight (89),angry,2008-07-18,Action,8.6,YouTube Movies,https://www.youtube.com/results?search_query=87222331
Parasite (52),fear,2019-05-30,Thriller,5.3,Amazon Prime Video,https://www.amazon.com/dp/-5954283
Coco (28),surprise,2017-11-22,Animation,8.9,YouTube Movies,https://www.youtube.com/results?search_query=17721223
The Shawshank Redemption (57),sad,1994-09-23,Drama,9.1,HBO Max,https://www.hbomax.com/feature/59205539
The Shawshank Redemption (24),sad,1994-09-23,Drama,5.5,Disney+,https://www.disneyplus.com/movies/-3915323
The Godfather (3),disgust,1972-03-24,Crime,5.9,Amazon Prime Video,https://www.amazon.com/dp/-6484780
Inside Out (73),surprise,2015-06-19,Animation,7.1,Disney+,https://www.disneyplus.com/movies/23641381
The Lion King (44),surprise,1994-06-24,Animation,6.6,Amazon Prime Video,https://www.amazon.com/dp/56253125
Inception (3),neutral,2010-07-16,Sci-Fi,9.2,HBO Max,https://www.hbomax.com/feature/12759846
Coco (58),surprise,2017-11-22,Animation,9.2,Peacock,https://www.peacocktv.com/watch/-6665202
Parasite (13),fear,2019-05-30,Thriller,9.0,Peacock,https://www.peacocktv.com/watch/25530858
Inception (33),neutral,2010-07-16,Sci-Fi,9.4,Amazon Prime Video,https://www.amazon.com/dp/38432070
Interstellar (78),neutral,2014-11-07,Sci-Fi,8.1,Apple TV+,https://tv.apple.com/movie/-5296066
Inside Out (43),surprise,2015-06-19,Animation,9.5,YouTube Movies,https://www.youtube.com/results?search_query=-5759852
Avengers: Endgame (1),angry,2019-04-26,Action,5.6,Apple TV+,https://tv.apple.com/movie/31435532
Inside Out (43),surprise,2015-06-19,Animation,7.7,YouTube Movies,https://www.youtube.com/results?search_query=-5759852
Titanic (39),happy,1997-12-19,Romance,8.2,Peacock,https://www.peacocktv.com/watch/43739793
The Godfather (17),disgust,1972-03-24,Crime,7.4,YouTube Movies,https://www.youtube.com/results?search_query=-7809890
Titanic (6),happy,1997-12-19,Romance,7.4,Apple TV+,https://tv.apple.com/movie/-4355384
Forrest Gump (14),sad,1994-07-06,Drama,6.9,HBO Max,https://www.hbomax.com/feature/-2576911
Titanic (31),happy,1997-12-19,Romance,7.6,HBO Max,https://www.hbomax.com/feature/-3218009
The Dark Knight (39),angry,2008-07-18,Action,6.0,HBO Max,https://www.hbomax.com/feature/-5477424
Saving Private Ryan (82),disgust,1998-07-24,War,9.0,Hulu,https://www.hulu.com/movie/55375280
Saving Private Ryan (41),disgust,1998-07-24,War,7.3,YouTube Movies,https://www.youtube.com/results?search_query=-9214026
Pulp Fiction (69),disgust,1994-10-14,Crime,5.2,HBO Max,https://www.hbomax.com/feature/-7688974
The Godfather (69),disgust,1972-03-24,Crime,5.8,Disney+,https://www.disneyplus.com/movies/12530995
Gladiator (93),angry,2000-05-05,Action,5.4,HBO Max,https://www.hbomax.com/feature/28747766
Schindler's List (84),sad,1993-12-15,Historical,5.2,Disney+,https://www.disneyplus.com/movies/-5515573
Avengers: Endgame (85),angry,2019-04-26,Action,6.5,Amazon Prime Video,https://www.amazon.com/dp/10558498
The Dark Knight (64),angry,2008-07-18,Action,6.1,HBO Max,https://www.hbomax.com/feature/32904061
Avengers: Endgame (69),angry,2019-04-26,Action,6.3,Peacock,https://www.peacocktv.com/watch/10565247
Pulp Fiction (44),disgust,1994-10-14,Crime,7.8,Apple TV+,https://tv.apple.com/movie/-7696488
The Shawshank Redemption (44),sad,1994-09-23,Drama,7.3,YouTube Movies,https://www.youtube.com/results?search_query=-3625792
